epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,124.46,1.46575,0.71635,0.84222,0.89521,0.72148,0.71044,0.46999,1.19658,0.59722,0.81126,0.000742625,0.000742625,0.000742625
43,127.103,1.43246,0.72749,0.85067,0.89505,0.72932,0.71049,0.45281,1.14358,0.58611,0.80586,0.00073025,0.00073025,0.00073025
44,129.732,1.4204,0.67921,0.84809,0.92267,0.73198,0.74055,0.5087,1.11115,0.56071,0.80236,0.000717875,0.000717875,0.000717875
45,132.808,1.49778,0.72629,0.84531,0.90859,0.72865,0.73924,0.51793,1.10376,0.55607,0.80301,0.0007055,0.0007055,0.0007055
46,136.46,1.46146,0.72871,0.83865,0.95795,0.69217,0.73877,0.50775,1.12164,0.55705,0.80271,0.000693125,0.000693125,0.000693125
47,139.15,1.3414,0.64725,0.84637,0.95378,0.72302,0.73781,0.49403,1.14867,0.55426,0.805,0.00068075,0.00068075,0.00068075
48,142.335,1.41187,0.76939,0.84393,0.97718,0.73011,0.73916,0.48462,1.16433,0.54847,0.80832,0.000668375,0.000668375,0.000668375
49,145.306,1.36147,0.75528,0.84215,0.9729,0.72045,0.73935,0.50684,1.14238,0.56817,0.80744,0.000656,0.000656,0.000656
50,148.53,1.42832,0.68372,0.84641,0.97145,0.71718,0.73902,0.49974,1.18973,0.57838,0.81317,0.000643625,0.000643625,0.000643625
51,151.7,1.37237,0.7115,0.83778,0.97623,0.72159,0.7397,0.4953,1.12803,0.55528,0.81094,0.00063125,0.00063125,0.00063125
52,154.435,1.33536,0.64751,0.84303,0.98238,0.73422,0.73901,0.44277,1.27208,0.57578,0.81531,0.000618875,0.000618875,0.000618875
53,157.23,1.5077,0.72358,0.8429,0.97804,0.73201,0.73787,0.46771,1.23369,0.56611,0.81376,0.0006065,0.0006065,0.0006065
54,160.866,1.36873,0.69798,0.84218,0.98088,0.7247,0.73901,0.49594,1.15011,0.55224,0.80443,0.000594125,0.000594125,0.000594125
55,163.568,1.39086,0.70725,0.83869,0.979,0.72069,0.73791,0.50037,1.10936,0.55585,0.79905,0.00058175,0.00058175,0.00058175
56,166.25,1.31061,0.63918,0.84212,0.97819,0.72611,0.74046,0.49412,1.14454,0.56772,0.80226,0.000569375,0.000569375,0.000569375
57,169.327,1.43116,0.65723,0.83517,0.9767,0.72382,0.73965,0.49684,1.1579,0.56458,0.80568,0.000557,0.000557,0.000557
58,172.637,1.3533,0.70757,0.8308,0.98604,0.71497,0.73935,0.48425,1.21197,0.58284,0.81081,0.000544625,0.000544625,0.000544625
59,175.291,1.3673,0.69958,0.83595,0.98484,0.71022,0.73917,0.48412,1.27063,0.59679,0.81706,0.00053225,0.00053225,0.00053225
60,177.94,1.36928,0.63987,0.8419,0.98193,0.71043,0.7378,0.50242,1.182,0.56015,0.81386,0.000519875,0.000519875,0.000519875
61,180.524,1.33762,0.62798,0.83889,0.98306,0.71422,0.73865,0.50826,1.15002,0.55162,0.81053,0.0005075,0.0005075,0.0005075
62,183.241,1.2661,0.68607,0.83274,0.98142,0.71567,0.74062,0.52032,1.13702,0.54254,0.80629,0.000495125,0.000495125,0.000495125
63,186.495,1.3106,0.62703,0.835,0.98242,0.71445,0.74035,0.51889,1.11005,0.5338,0.80259,0.00048275,0.00048275,0.00048275
64,189.159,1.29788,0.65232,0.83033,0.98832,0.71133,0.74018,0.51517,1.10365,0.53579,0.80242,0.000470375,0.000470375,0.000470375
65,191.777,1.30245,0.63291,0.8349,0.98872,0.71148,0.74049,0.51333,1.10865,0.53048,0.80352,0.000458,0.000458,0.000458
66,194.89,1.31383,0.68258,0.84386,0.98858,0.71533,0.7406,0.5145,1.11379,0.53559,0.80429,0.000445625,0.000445625,0.000445625
67,198.042,1.25639,0.64559,0.82795,0.98619,0.71765,0.74095,0.52097,1.12077,0.54159,0.80655,0.00043325,0.00043325,0.00043325
68,200.955,1.28158,0.64373,0.84676,0.98535,0.72095,0.73974,0.52682,1.07525,0.50665,0.79947,0.000420875,0.000420875,0.000420875
69,203.962,1.24427,0.60757,0.8321,0.98339,0.72662,0.74106,0.51876,1.10329,0.51394,0.79967,0.0004085,0.0004085,0.0004085
70,206.66,1.3589,0.6449,0.8339,0.98298,0.72526,0.74131,0.50822,1.10883,0.51018,0.80049,0.000396125,0.000396125,0.000396125
71,210.102,1.32108,0.6338,0.8205,0.98095,0.72182,0.74093,0.51548,1.09577,0.51503,0.79981,0.00038375,0.00038375,0.00038375
72,212.973,1.26885,0.62834,0.83995,0.98197,0.72652,0.74093,0.50578,1.09105,0.50463,0.80107,0.000371375,0.000371375,0.000371375
73,215.571,1.249,0.59891,0.84244,0.98257,0.72871,0.74118,0.51132,1.14662,0.51452,0.80604,0.000359,0.000359,0.000359
74,218.185,1.35539,0.75276,0.83886,0.97746,0.72922,0.74111,0.5074,1.15403,0.51429,0.8061,0.000346625,0.000346625,0.000346625
75,220.788,1.32827,0.61343,0.8238,0.97841,0.72752,0.74107,0.54694,1.06526,0.50095,0.79929,0.00033425,0.00033425,0.00033425
76,224.422,1.26021,0.60741,0.83777,0.96635,0.72842,0.74035,0.54705,1.08329,0.54214,0.80374,0.000321875,0.000321875,0.000321875
77,227.349,1.32657,0.66661,0.83142,0.96922,0.73091,0.74198,0.54639,1.07753,0.52137,0.802,0.0003095,0.0003095,0.0003095
78,229.964,1.31647,0.59631,0.83613,0.97753,0.72802,0.74242,0.55272,1.07314,0.50673,0.80048,0.000297125,0.000297125,0.000297125
79,232.715,1.2158,0.5953,0.82982,0.9835,0.72107,0.74228,0.5438,1.08022,0.50447,0.79987,0.00028475,0.00028475,0.00028475
80,236.432,1.27447,0.64265,0.82473,0.98789,0.719,0.74097,0.51769,1.07056,0.50533,0.79887,0.000272375,0.000272375,0.000272375
81,239.176,1.23571,0.59658,0.83873,0.98749,0.71583,0.74079,0.52463,1.06985,0.50864,0.79867,0.00026,0.00026,0.00026
82,241.781,1.28619,0.62381,0.8263,0.98969,0.7141,0.74107,0.5311,1.071,0.51931,0.79944,0.000247625,0.000247625,0.000247625
83,244.448,1.21708,0.57156,0.82358,0.99034,0.71362,0.74042,0.52885,1.07135,0.51954,0.79903,0.00023525,0.00023525,0.00023525
84,247.35,1.22232,0.64463,0.82604,0.9833,0.72537,0.74071,0.53136,1.05431,0.49779,0.79685,0.000222875,0.000222875,0.000222875
85,250.855,1.20171,0.5761,0.83004,0.98339,0.72771,0.74106,0.52723,1.05058,0.49683,0.79665,0.0002105,0.0002105,0.0002105
86,253.483,1.25388,0.66275,0.82477,0.97301,0.72784,0.74101,0.51931,1.05063,0.49193,0.7973,0.000198125,0.000198125,0.000198125
87,256.176,1.29167,0.63178,0.82333,0.97376,0.72387,0.74094,0.52031,1.05032,0.49024,0.79771,0.00018575,0.00018575,0.00018575
88,259.32,1.22361,0.59863,0.82693,0.97972,0.71624,0.74061,0.5244,1.04943,0.50825,0.79954,0.000173375,0.000173375,0.000173375
89,262.449,1.2303,0.59168,0.81907,0.97687,0.71955,0.74083,0.51647,1.04837,0.51406,0.80053,0.000161,0.000161,0.000161
90,265.129,1.24065,0.58404,0.82021,0.97685,0.72271,0.74081,0.51575,1.04182,0.5093,0.79941,0.000148625,0.000148625,0.000148625
91,270.754,1.19209,0.6207,0.82678,0.97858,0.72058,0.74062,0.52289,1.03824,0.50891,0.79781,0.00013625,0.00013625,0.00013625
92,274.119,1.19397,0.6007,0.8337,0.72602,0.72392,0.74061,0.52561,1.03064,0.52645,0.79747,0.000123875,0.000123875,0.000123875
93,277.04,1.20596,0.58353,0.82949,0.72578,0.72429,0.74048,0.53382,1.03829,0.53737,0.79791,0.0001115,0.0001115,0.0001115
94,279.555,1.1507,0.54965,0.82017,0.72473,0.72444,0.74031,0.53285,1.04535,0.54415,0.79839,9.9125e-05,9.9125e-05,9.9125e-05
95,282.204,1.15054,0.58142,0.82262,0.7269,0.72302,0.74036,0.53396,1.05098,0.53723,0.79868,8.675e-05,8.675e-05,8.675e-05
96,284.807,1.18277,0.60148,0.8352,0.72787,0.72411,0.74011,0.53897,1.03454,0.52083,0.79626,7.4375e-05,7.4375e-05,7.4375e-05
97,287.905,1.11568,0.53489,0.82483,0.72813,0.72627,0.74072,0.54059,1.02413,0.51418,0.79534,6.2e-05,6.2e-05,6.2e-05
98,290.524,1.17368,0.55824,0.8269,0.72797,0.7265,0.74076,0.53756,1.01964,0.50989,0.7951,4.9625e-05,4.9625e-05,4.9625e-05
99,293.156,1.16594,0.56684,0.83369,0.72877,0.72629,0.74081,0.54247,1.0196,0.51074,0.79476,3.725e-05,3.725e-05,3.725e-05
100,295.834,1.13328,0.55127,0.82667,0.97926,0.72534,0.74011,0.54129,1.01838,0.51034,0.79465,2.4875e-05,2.4875e-05,2.4875e-05
